
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Jack Barry,5,17,1,3,0,0,0,1,1,2,.176,.222,.176,.399,0,,1,*132,442,46,108,0,41,6,.244,.622
Hick Cady,4,6,0,2,0,0,0,0,1,2,.333,.429,.333,.762,0,,0,78,205,25,57,0,17,0,.278,.689
Bill Carrigan,1,2,0,0,0,0,0,0,1,1,.000,.333,.000,.333,0,,0,46,95,10,19,0,7,0,.200,.553
Rube Foster,2,8,0,4,1,0,0,1,0,2,.500,.500,.625,1.125,0,,0,40,83,10,23,1,9,0,.277,.723
Del Gainer,1,3,1,1,0,0,0,0,0,0,.333,.333,.333,.667,0,,0,82,200,30,59,1,29,7,.295,.786
Larry Gardner,5,17,2,4,0,1,0,0,1,0,.235,.278,.353,.631,0,,0,127,430,51,111,1,55,11,.258,.653
Olaf Henriksen,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,,73,92,9,18,0,13,1,.196,.594
Dick Hoblitzell,5,16,1,5,0,0,0,1,0,1,.313,.313,.313,.625,1,,1,124,399,54,113,2,61,9,.283,.747
Harry Hooper,5,20,4,7,0,0,2,3,2,4,.350,.435,.650,1.085,0,,1,149,566,90,133,2,51,22,.235,.669
Hal Janvrin,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,99,316,41,85,0,37,8,.269,.620
Dutch Leonard,1,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,,0,32,53,8,14,0,3,0,.264,.702
Duffy Lewis,5,18,1,8,1,0,1,5,1,4,.444,.474,.667,1.140,0,,0,152,557,69,162,2,76,14,.291,.731
Babe Ruth,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,,42,92,16,29,4,20,0,.315,.952
Everett Scott,5,18,0,1,0,0,0,0,0,3,.056,.056,.056,.111,0,,0,100,359,25,72,0,28,4,.201,.468
Ernie Shore,2,5,0,1,0,0,0,0,0,3,.200,.200,.200,.400,0,,1,38,79,3,8,0,10,0,.101,.332
Tris Speaker,5,17,2,5,0,1,0,0,4,1,.294,.429,.412,.840,0,,0,150,547,108,176,0,69,29,.322,.827
Pinch Thomas,2,5,0,1,0,0,0,0,0,0,.200,.200,.200,.400,0,,0,86,203,21,48,0,21,3,.236,.581
Totals,52,159,12,42,2,2,3,11,11,25,.264,.316,.358,.674,1,,,155,5024,669,1308,14,,118,.260,.676
