
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Frankie Crosetti,4,16,2,1,0,0,0,1,2,2,.063,.167,.063,.229,0,0,0,152,656,109,153,10,56,11,.233,.647
Babe Dahlgren,4,14,2,3,2,0,1,2,0,4,.214,.214,.571,.786,0,0,0,144,531,71,125,15,89,2,.235,.689
Bill Dickey,4,15,2,4,0,0,2,5,1,2,.267,.313,.667,.979,0,0,0,128,480,98,145,24,105,5,.302,.915
Joe DiMaggio,4,16,3,5,0,0,1,3,1,1,.313,.353,.500,.853,0,0,0,120,462,108,176,30,126,3,.381,1.119
Lefty Gomez,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,26,73,3,11,0,4,0,.151,.383
Joe Gordon,4,14,1,2,0,0,0,1,0,2,.143,.143,.143,.286,0,0,0,151,567,92,161,28,111,11,.284,.876
Bump Hadley,1,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,1,26,62,3,11,0,3,1,.177,.437
Oral Hildebrand,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,21,44,5,8,0,5,0,.182,.405
Charlie Keller,4,16,8,7,1,1,3,6,1,2,.438,.471,1.188,1.658,0,0,0,111,398,87,133,11,83,6,.334,.947
Johnny Murphy,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,38,11,1,2,0,1,0,.182,.539
Monte Pearson,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,22,53,9,17,0,7,0,.321,.794
Red Rolfe,4,16,2,2,0,0,0,0,0,0,.125,.125,.125,.250,0,0,1,152,648,139,213,14,80,7,.329,.899
Red Ruffing,1,3,0,1,0,0,0,0,0,1,.333,.333,.333,.667,0,0,0,44,114,12,35,1,20,1,.307,.689
George Selkirk,4,12,0,2,1,0,0,0,3,2,.167,.333,.250,.583,0,0,0,128,418,103,128,21,101,12,.306,.969
Steve Sundra,1,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,0,24,49,7,13,0,6,0,.265,.675
Totals,39,131,20,27,4,1,7,18,9,20,.206,.257,.412,.669,0,0,,152,5300,967,1521,166,,72,.287,.825
