
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Mark Belanger,7,21,4,5,0,1,0,0,5,2,.238,.385,.333,.718,1,0,3,150,500,67,133,0,35,10,.266,.685
Paul Blair,4,9,2,3,1,0,0,0,0,1,.333,.333,.444,.778,0,0,1,141,516,75,135,10,44,14,.262,.703
Don Buford,6,23,3,6,1,0,2,4,3,3,.261,.346,.565,.911,0,0,0,122,449,99,130,19,54,15,.290,.890
Mike Cuellar,2,3,0,0,0,0,0,0,1,2,.000,.250,.000,.250,0,0,1,38,107,7,11,1,5,0,.103,.259
Pat Dobson,3,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,38,91,3,10,0,4,0,.110,.248
Tom Dukes,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,28,7,1,1,0,2,0,.143,.429
Andy Etchebarren,1,2,0,0,0,0,0,0,0,0,.000,.333,.000,.333,0,0,0,70,222,21,60,9,29,1,.270,.749
Dick Hall,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,27,5,0,2,0,0,0,.400,1.000
Elrod Hendricks,6,19,3,5,1,0,0,1,3,3,.263,.391,.316,.707,0,0,1,101,316,33,79,9,42,0,.250,.720
Grant Jackson,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,29,22,5,2,1,2,0,.091,.394
Davey Johnson,7,27,1,4,0,0,0,3,0,1,.148,.179,.148,.327,0,0,0,142,510,67,144,18,72,3,.282,.794
Dave Leonhard,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,13,18,1,5,0,0,0,.278,.556
Dave McNally,4,4,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,30,74,3,12,2,7,0,.162,.479
Jim Palmer,2,4,0,0,0,0,0,2,2,2,.000,.333,.000,.333,0,0,0,38,102,7,20,0,9,1,.196,.425
Boog Powell,7,27,1,3,0,0,0,1,1,3,.111,.138,.111,.249,0,0,1,128,418,59,107,22,92,1,.256,.839
Merv Rettenmund,7,27,3,5,0,0,1,4,0,4,.185,.185,.296,.481,0,0,0,141,491,81,156,11,75,15,.318,.870
Pete Richert,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,35,2,0,0,0,0,0,.000,.000
Brooks Robinson,7,22,2,7,0,0,0,5,3,1,.318,.370,.318,.689,0,0,2,156,589,67,160,20,92,0,.272,.754
Frank Robinson,7,25,5,7,0,0,2,2,2,8,.280,.357,.520,.877,0,0,0,133,455,82,128,28,99,3,.281,.894
Tom Shopay,5,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,47,74,10,19,0,5,2,.257,.569
Eddie Watt,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,35,5,0,0,0,0,0,.000,.167
Totals,83,219,24,45,3,1,5,22,20,35,.205,.280,.297,.577,1,0,,158,5303,742,1382,158,,66,.261,.745
