
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Frankie Crosetti,6,26,5,7,2,0,0,3,3,5,.269,.345,.346,.691,0,0,2,151,632,137,182,15,78,18,.288,.824
Bill Dickey,6,25,5,3,0,0,1,5,3,4,.120,.214,.240,.454,0,0,1,112,423,99,153,22,107,0,.362,1.045
Joe DiMaggio,6,26,3,9,3,0,0,3,1,3,.346,.370,.462,.832,0,0,1,138,637,132,206,29,125,4,.323,.928
Lou Gehrig,6,24,5,7,1,0,2,7,3,2,.292,.393,.583,.976,0,1,0,155,579,167,205,49,152,3,.354,1.174
Lefty Gomez,2,8,1,2,0,0,0,3,0,3,.250,.250,.250,.500,0,0,0,31,69,1,10,0,5,0,.145,.340
Bump Hadley,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,31,68,14,16,0,1,0,.235,.532
Roy Johnson,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,63,147,21,39,1,19,3,.265,.728
Tony Lazzeri,6,20,4,5,0,0,1,7,4,4,.250,.375,.400,.775,0,0,0,150,537,82,154,14,109,8,.287,.838
Pat Malone,2,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,35,51,4,10,0,7,0,.196,.427
Johnny Murphy,1,2,1,1,0,0,0,1,0,1,.500,.500,.500,1.000,0,0,0,27,36,4,13,0,7,0,.361,.767
Monte Pearson,1,4,0,2,1,0,0,0,0,0,.500,.500,.750,1.250,0,0,0,33,91,12,23,1,20,0,.253,.643
Jake Powell,6,22,8,10,1,0,1,5,4,4,.455,.538,.636,1.175,1,1,0,*140,538,102,161,8,78,26,.299,.780
Red Rolfe,6,25,5,10,0,0,0,4,3,1,.400,.464,.400,.864,0,1,1,135,568,116,181,10,70,3,.319,.884
Red Ruffing,3,5,0,0,0,0,0,0,1,2,.000,.167,.000,.167,0,0,0,53,127,14,37,5,22,0,.291,.797
Bob Seeds,1,0,0,0,0,0,0,0,0,0,,,,,0,1,,13,42,12,11,4,10,3,.262,.912
George Selkirk,6,24,6,8,0,1,2,3,4,4,.333,.429,.667,1.095,0,1,1,137,493,93,152,18,107,13,.308,.931
Totals,61,215,43,65,8,1,7,41,26,35,.302,.380,.447,.827,1,5,,155,5591,1065,1676,182,,77,.300,.864
