
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Joaquin Andujar,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,38,94,2,10,0,8,3,.106,.279
Steve Braun,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,64,67,7,16,1,6,0,.239,.685
Bill Campbell,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,50,6,2,2,0,1,0,.333,.889
Cesar Cedeno,5,15,1,2,1,0,0,1,2,2,.133,.235,.200,.435,0,0,0,*111,296,38,86,9,49,14,.291,.789
Jack Clark,7,25,1,6,2,0,0,4,3,9,.240,.321,.320,.641,0,0,0,126,442,71,124,22,87,1,.281,.895
Danny Cox,2,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,35,79,3,12,0,6,0,.152,.365
Ken Dayley,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,57,5,0,2,0,0,0,.400,.800
Ivan de Jesus,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,59,72,11,16,0,7,2,.222,.551
Bob Forsch,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,34,45,3,11,1,4,0,.244,.644
Brian Harper,4,4,0,1,0,0,0,1,0,1,.250,.250,.250,.500,0,0,,43,52,5,13,0,8,0,.250,.600
Tom Herr,7,26,2,4,2,0,0,0,2,2,.154,.214,.231,.445,0,0,0,159,596,97,180,8,110,31,.302,.795
Ricky Horton,3,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,49,16,1,1,0,0,0,.063,.273
Mike Jorgensen,2,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,72,112,14,22,0,11,2,.196,.625
Jeff Lahti,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,52,9,0,0,0,0,0,.000,.000
Tito Landrum,7,25,3,9,2,0,1,1,0,2,.360,.360,.560,.920,0,0,0,85,161,21,45,4,21,1,.280,.784
Tom Lawless,1,0,0,0,0,0,0,0,0,0,,,,,0,0,,47,58,8,12,0,8,2,.207,.563
Willie McGee,7,27,2,7,2,0,1,2,1,3,.259,.286,.444,.730,1,2,0,152,612,114,216,10,82,56,.353,.887
Tom Nieto,2,5,0,0,0,0,0,1,1,2,.000,.167,.000,.167,0,0,0,95,253,15,57,0,34,0,.225,.586
Terry Pendleton,7,23,3,6,1,1,0,3,3,2,.261,.346,.391,.737,0,0,1,149,559,56,134,5,69,17,.240,.591
Darrell Porter,5,15,0,2,0,0,0,0,2,5,.133,.235,.133,.369,0,0,0,84,240,30,53,10,36,6,.221,.747
Ozzie Smith,7,23,1,2,0,0,0,0,4,0,.087,.222,.087,.309,1,1,1,158,537,70,148,6,54,31,.276,.716
John Tudor,3,5,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,37,94,9,13,0,2,0,.138,.395
Andy Van Slyke,6,11,0,1,0,0,0,0,0,5,.091,.091,.091,.182,0,0,0,146,424,61,110,13,55,34,.259,.774
Todd Worrell,3,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,17,1,0,0,0,0,0,.000,.000
Totals,94,216,13,40,10,1,2,13,18,42,.185,.248,.269,.516,2,3,,162,5467,747,1446,87,,314,.264,.714
