
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Aaron Boone,6,21,1,3,0,0,1,2,0,6,.143,.136,.286,.422,0,0,3,*160,592,92,158,24,96,23,.267,.780
Roger Clemens,1,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,33,1,0,0,0,0,0,.000,.000
Jose Contreras,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,18,3,0,0,0,0,0,.000,.000
David Dellucci,4,2,1,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,*91,216,26,49,3,23,12,.227,.665
John Flaherty,1,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,40,105,16,28,4,14,0,.267,.754
Karim Garcia,5,14,1,4,0,0,0,0,0,3,.286,.286,.286,.571,0,0,0,*76,244,25,64,11,35,0,.262,.724
Jason Giambi,6,17,2,4,1,0,1,1,4,3,.235,.409,.471,.880,0,0,0,156,535,97,134,41,107,2,.250,.939
Chris Hammond,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,62,0,0,0,0,0,0,,
Derek Jeter,6,26,5,9,3,0,0,2,1,7,.346,.393,.462,.854,0,0,1,119,482,87,156,10,52,11,.324,.844
Nick Johnson,6,17,3,5,1,0,0,0,2,3,.294,.368,.353,.721,0,0,0,96,324,60,92,14,47,5,.284,.894
Hideki Matsui,6,23,1,6,0,0,1,4,3,2,.261,.370,.391,.762,0,0,0,163,623,82,179,16,106,2,.287,.788
Mike Mussina,1,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,31,2,0,0,0,0,0,.000,.000
Jeff Nelson,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*70,0,0,0,0,0,0,,
Andy Pettitte,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,33,7,0,1,0,1,0,.143,.286
Jorge Posada,6,19,0,3,1,0,0,1,5,7,.158,.333,.211,.544,1,1,0,142,481,83,135,30,101,2,.281,.922
Juan Rivera,4,6,0,1,1,0,0,1,1,1,.167,.286,.333,.619,0,0,0,57,173,22,46,7,26,0,.266,.773
Mariano Rivera,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,64,0,0,0,0,0,0,,
Ruben Sierra,5,4,0,1,0,1,0,2,1,3,.250,.400,.750,1.150,0,0,0,*106,307,33,83,9,43,2,.270,.748
Alfonso Soriano,6,22,2,5,0,0,1,2,2,9,.227,.292,.364,.655,1,1,0,156,682,114,198,38,91,35,.290,.863
Jeff Weaver,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,0,0,0,0,0,0,,
David Wells,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,31,6,0,1,0,0,0,.167,.500
Bernie Williams,6,25,5,10,2,0,2,5,2,2,.400,.429,.720,1.149,0,0,0,119,445,77,117,15,64,5,.263,.778
Enrique Wilson,2,4,0,2,1,0,0,1,1,0,.500,.600,.750,1.350,0,0,1,63,135,18,31,3,15,3,.230,.639
Totals,86,207,21,54,10,1,6,21,22,49,.261,.338,.406,.743,2,2,,163,5605,877,1518,230,,98,.271,.810
