
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Dave Anderson,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,116,285,31,71,2,20,4,.249,.644
Tim Belcher,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,36,56,2,4,1,3,0,.071,.232
Mike Davis,4,7,3,1,0,0,1,2,4,0,.143,.455,.571,1.026,2,0,0,108,281,29,55,2,17,7,.196,.530
Rick Dempsey,2,5,0,1,1,0,0,1,1,2,.200,.333,.400,.733,0,0,0,77,167,25,42,7,30,1,.251,.793
Kirk Gibson,1,1,1,1,0,0,1,2,0,0,1.000,1.000,4.000,5.000,0,0,,150,542,106,157,25,76,31,.290,.860
Jose Gonzalez,4,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,37,24,7,2,0,0,3,.083,.279
Alfredo Griffin,5,16,2,3,0,0,0,0,2,4,.188,.278,.188,.465,0,1,1,95,316,39,63,1,27,7,.199,.513
Jeff Hamilton,5,19,1,2,0,0,0,0,1,4,.105,.150,.105,.255,0,0,1,111,309,34,73,6,33,0,.236,.620
Mickey Hatcher,5,19,5,7,1,0,2,5,1,3,.368,.400,.737,1.137,0,0,0,88,191,22,56,1,25,0,.293,.673
Danny Heep,3,8,0,2,1,0,0,0,0,2,.250,.250,.375,.625,0,1,0,95,149,14,36,0,11,2,.242,.596
Orel Hershiser,2,3,1,3,2,0,0,1,0,0,1.000,1.000,1.667,2.667,0,0,0,36,85,1,11,0,6,0,.129,.316
Brian Holton,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,45,10,0,0,0,0,0,.000,.091
Jay Howell,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,50,2,0,0,0,0,0,.000,.000
Tim Leary,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,36,67,4,18,0,9,0,.269,.599
Mike Marshall,5,13,2,3,0,1,1,3,0,5,.231,.231,.615,.846,0,0,0,144,542,63,150,20,82,4,.277,.758
Alejandro Pena,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,60,6,0,0,0,0,0,.000,.000
Steve Sax,5,20,3,6,0,0,0,0,1,1,.300,.364,.300,.664,1,1,0,160,632,70,175,5,57,42,.277,.668
Mike Scioscia,4,14,0,3,0,0,0,1,0,2,.214,.214,.214,.429,0,1,1,130,408,29,105,3,35,0,.257,.642
John Shelby,5,18,0,4,1,0,0,1,2,7,.222,.300,.278,.578,1,0,0,140,494,65,130,10,64,16,.263,.715
Franklin Stubbs,5,17,3,5,2,0,0,2,1,3,.294,.333,.412,.745,0,0,0,115,242,30,54,8,34,11,.223,.664
John Tudor,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*32,59,0,5,0,0,0,.085,.228
Tracy Woodson,4,4,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,0,65,173,15,43,3,15,1,.249,.614
Totals,70,167,21,41,8,1,5,19,13,36,.246,.304,.395,.699,4,4,,162,5431,628,1346,99,,131,.248,.657
