
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Ty Cobb,5,19,3,7,1,0,0,4,1,2,.368,.400,.421,.821,2,,1,150,581,88,188,4,108,39,.324,.842
Bill Coughlin,3,8,0,1,0,0,0,1,0,1,.125,.222,.125,.347,0,,1,119,405,32,87,0,23,10,.215,.501
Sam Crawford,5,21,2,5,1,0,0,1,1,2,.238,.273,.286,.558,0,,0,152,591,102,184,7,80,15,.311,.812
Bill Donovan,2,4,0,0,0,0,0,0,1,1,.000,.200,.000,.200,1,,1,30,82,5,13,0,2,2,.159,.421
Red Downs,2,6,1,1,1,0,0,1,1,2,.167,.286,.333,.619,0,,1,84,289,28,64,1,35,2,.221,.524
Davy Jones,3,2,1,0,0,0,0,0,1,1,.000,.333,.000,.333,0,,,56,121,17,25,0,10,11,.207,.523
Ed Killian,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,28,73,5,10,0,6,0,.137,.315
Matty McIntyre,5,18,2,4,1,0,0,0,3,2,.222,.364,.278,.641,1,,1,151,569,105,168,0,28,20,.295,.775
George Mullin,1,3,1,1,0,0,0,1,1,0,.333,.500,.333,.833,0,,0,55,125,13,32,1,8,2,.256,.634
Charley O'Leary,5,19,2,4,0,0,0,0,0,3,.211,.211,.211,.421,0,,1,65,211,21,53,0,17,4,.251,.617
Claude Rossman,5,19,3,4,0,0,0,3,1,4,.211,.250,.211,.461,0,,2,138,524,45,154,2,71,8,.294,.748
Germany Schaefer,5,16,0,2,0,0,0,0,1,4,.125,.176,.125,.301,1,,1,153,584,96,151,3,52,40,.259,.646
Boss Schmidt,4,14,0,1,0,0,0,1,0,2,.071,.071,.071,.143,0,,0,122,419,45,111,1,38,5,.265,.617
Ed Summers,2,5,0,1,0,0,0,1,0,2,.200,.200,.200,.400,0,,0,40,113,6,14,0,5,0,.124,.265
Ira Thomas,2,4,0,2,1,0,0,1,1,0,.500,.600,.750,1.350,0,,0,40,101,6,31,0,8,0,.307,.663
George Winter,2,0,0,0,0,0,0,0,0,0,,,,,0,,0,*29,67,4,11,0,3,0,.164,.343
Totals,52,158,15,33,5,0,0,14,12,26,.209,.273,.241,.514,5,,,154,5115,647,1347,19,,165,.263,.659
