
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Red Ames,2,2,0,1,0,0,0,0,0,1,.500,.500,.500,1.000,0,,1,34,64,2,6,0,5,0,.094,.284
Beals Becker,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,,88,172,28,45,1,20,19,.262,.713
Doc Crandall,3,2,1,1,1,0,0,1,2,0,.500,.750,1.000,1.750,0,,0,61,113,12,27,2,21,2,.239,.667
Josh Devore,6,24,1,4,1,0,0,3,1,8,.167,.200,.208,.408,0,,1,149,565,96,158,3,50,61,.280,.740
Larry Doyle,6,23,3,7,3,1,0,1,2,1,.304,.360,.522,.882,2,,1,143,526,102,163,13,77,38,.310,.924
Art Fletcher,6,23,1,3,1,0,0,1,0,4,.130,.130,.174,.304,0,,4,112,326,73,104,1,37,20,.319,.829
Buck Herzog,6,21,3,4,2,0,0,0,2,3,.190,.261,.286,.547,1,,3,*148,541,90,157,6,67,48,.290,.783
Rube Marquard,3,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,,0,45,104,9,17,1,10,0,.163,.427
Christy Mathewson,3,7,0,2,0,0,0,0,1,3,.286,.375,.286,.661,0,,1,45,112,12,22,0,12,2,.196,.452
Fred Merkle,6,20,1,3,1,0,0,1,2,6,.150,.261,.200,.461,0,,2,149,541,80,153,12,84,49,.283,.773
Chief Meyers,6,20,2,6,2,0,0,2,0,3,.300,.300,.400,.700,0,,0,133,391,48,130,1,61,7,.332,.824
Red Murray,6,21,0,0,0,0,0,0,2,5,.000,.087,.000,.087,0,,3,140,488,70,142,3,78,48,.291,.781
Fred Snodgrass,6,19,1,2,0,0,0,1,2,7,.105,.261,.105,.366,0,,0,151,534,83,157,1,77,51,.294,.781
Art Wilson,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,66,109,17,33,1,17,6,.303,.842
Hooks Wiltse,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,0,31,69,5,13,0,14,0,.188,.403
Totals,65,189,13,33,11,1,0,10,14,44,.175,.243,.243,.486,3,,,154,5006,756,1399,41,,347,.279,.748
