
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Clay Bellinger,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,98,184,33,38,6,21,5,.207,.658
Scott Brosius,5,13,2,4,0,0,1,3,2,2,.308,.389,.538,.927,0,0,0,135,470,57,108,16,64,0,.230,.673
Jose Canseco,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,*98,329,47,83,15,49,2,.252,.820
Roger Clemens,1,0,0,0,0,0,0,0,0,0,,,,,0,0,1,32,3,0,0,0,0,0,.000,.000
David Cone,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,30,3,0,1,0,0,0,.333,.667
Orlando Hernandez,1,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,29,9,0,0,0,0,0,.000,.000
Glenallen Hill,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,*104,300,45,88,27,58,0,.293,.936
Derek Jeter,5,22,6,9,2,1,2,2,3,8,.409,.480,.864,1.344,0,0,0,148,593,119,201,15,73,22,.339,.896
David Justice,5,19,1,3,2,0,0,3,3,2,.158,.333,.263,.596,0,0,0,*146,524,89,150,41,118,2,.286,.961
Chuck Knoblauch,4,10,1,1,0,0,0,1,2,1,.100,.231,.100,.331,0,1,,102,400,75,113,5,26,15,.283,.751
Tino Martinez,5,22,3,8,1,0,0,2,1,4,.364,.391,.409,.800,0,0,0,155,569,69,147,16,91,4,.258,.749
Denny Neagle,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,*35,37,1,7,0,3,0,.189,.474
Jeff Nelson,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,73,1,0,0,0,0,0,.000,.000
Paul O'Neill,5,19,2,9,2,2,0,2,3,4,.474,.545,.789,1.335,0,0,0,142,566,79,160,18,100,14,.283,.760
Andy Pettitte,2,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,1,32,5,0,0,0,0,0,.000,.000
Luis Polonia,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,,*117,344,48,95,7,30,12,.276,.736
Jorge Posada,5,18,2,4,1,0,0,1,5,4,.222,.391,.278,.669,0,0,0,151,505,92,145,28,86,2,.287,.943
Mariano Rivera,4,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,66,0,0,0,0,0,0,,
Luis Sojo,4,7,0,2,0,0,0,2,1,0,.286,.375,.286,.661,1,0,0,*95,301,33,86,7,37,2,.286,.747
Mike Stanton,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,69,1,1,1,0,0,0,1.000,2.000
Jose Vizcaino,4,17,0,4,0,0,0,1,0,5,.235,.235,.235,.471,0,1,0,*113,267,32,67,0,14,6,.251,.612
Bernie Williams,5,18,2,2,0,0,1,1,5,5,.111,.304,.278,.582,0,0,0,141,537,108,165,30,121,13,.307,.957
Totals,74,179,19,47,8,3,4,18,25,40,.263,.357,.408,.765,1,2,,161,5556,871,1541,205,,99,.277,.804
