
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Hank Bauer,6,23,6,6,0,1,0,1,2,4,.261,.346,.348,.694,0,0,0,133,437,77,133,10,57,2,.304,.841
Yogi Berra,6,21,3,9,1,0,1,4,3,3,.429,.538,.619,1.158,0,1,0,137,503,80,149,27,108,0,.296,.886
Don Bollweg,3,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,70,155,24,46,6,24,1,.297,.887
Joe Collins,6,24,4,4,1,0,1,2,3,8,.167,.259,.333,.593,0,0,0,127,387,72,104,17,44,2,.269,.805
Whitey Ford,2,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667,0,0,0,33,75,10,20,0,10,0,.267,.639
Tom Gorman,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,40,15,0,2,0,0,0,.133,.321
Bob Kuzava,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,33,21,3,1,0,0,0,.048,.248
Eddie Lopat,1,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,26,63,5,12,0,1,0,.190,.488
Mickey Mantle,6,24,3,5,0,0,2,7,3,8,.208,.296,.458,.755,0,1,0,127,461,105,136,21,92,8,.295,.895
Billy Martin,6,24,5,12,1,2,2,8,1,2,.500,.520,.958,1.478,1,2,0,149,587,72,151,15,75,6,.257,.710
Jim McDonald,1,2,0,1,1,0,0,1,1,1,.500,.667,1.000,1.667,0,0,0,29,41,2,4,0,4,0,.098,.237
Gil McDougald,6,24,2,4,0,1,2,4,1,3,.167,.231,.500,.731,0,0,0,141,541,82,154,10,83,3,.285,.777
Johnny Mize,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,81,104,6,26,4,27,0,.250,.733
Irv Noren,2,1,0,0,0,0,0,0,1,0,.000,.500,.000,.500,0,0,,109,345,55,92,6,46,3,.267,.738
Vic Raschi,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,28,63,4,9,0,11,0,.143,.341
Allie Reynolds,3,2,0,1,0,0,0,0,1,1,.500,.667,.500,1.167,0,0,0,42,41,3,5,0,2,0,.122,.436
Phil Rizzuto,6,19,4,6,1,0,0,0,3,2,.316,.409,.368,.778,1,0,1,134,413,54,112,2,54,4,.271,.734
Johnny Sain,2,2,1,1,1,0,0,2,0,1,.500,.500,1.000,1.500,0,0,0,41,68,8,17,0,8,0,.250,.625
Art Schallock,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,7,6,1,2,0,0,0,.333,.667
Gene Woodling,6,20,5,6,0,0,1,3,6,2,.300,.462,.450,.912,0,0,0,125,395,64,121,10,58,2,.306,.898
Totals,69,201,33,56,6,4,9,32,25,43,.279,.370,.483,.852,2,4,,151,5194,801,1420,139,,34,.273,.776
