
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Hank Bauer,6,18,0,3,0,1,0,3,1,1,.167,.211,.278,.488,0,0,0,118,348,53,103,10,54,5,.296,.827
Yogi Berra,6,23,4,6,1,0,0,0,2,1,.261,.320,.304,.624,0,0,1,141,547,92,161,27,88,5,.294,.842
Bobby Brown,5,14,1,5,1,0,0,0,2,1,.357,.438,.429,.866,0,0,0,103,313,44,84,6,51,1,.268,.756
Jerry Coleman,5,8,2,2,0,0,0,0,1,2,.250,.333,.250,.583,0,0,0,121,362,48,90,3,43,6,.249,.630
Joe Collins,6,18,2,4,0,0,1,3,2,1,.222,.300,.389,.689,0,0,0,125,262,52,75,9,48,9,.286,.826
Joe DiMaggio,6,23,3,6,2,0,1,5,2,4,.261,.320,.478,.798,0,0,0,116,415,72,109,12,71,0,.263,.787
Bobby Hogue,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*28,5,2,3,0,2,0,.600,1.314
Johnny Hopp,1,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,,46,63,10,13,2,4,2,.206,.623
Bob Kuzava,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*32,39,6,6,0,2,0,.154,.477
Eddie Lopat,2,8,0,1,0,0,0,1,0,2,.125,.125,.125,.250,0,0,0,31,84,7,15,3,9,0,.179,.539
Mickey Mantle,2,5,1,1,0,0,0,0,2,1,.200,.429,.200,.629,0,0,0,96,341,61,91,13,65,8,.267,.792
Billy Martin,1,0,1,0,0,0,0,0,0,0,,,,,0,0,,51,58,10,15,0,2,0,.259,.673
Gil McDougald,6,23,2,6,1,0,1,7,2,2,.261,.320,.435,.755,0,1,1,131,402,72,123,14,63,14,.306,.884
Johnny Mize,4,7,2,2,1,0,0,1,2,0,.286,.444,.429,.873,0,0,0,113,332,37,86,10,49,1,.259,.736
Tom Morgan,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,27,44,6,12,1,3,0,.273,.659
Joe Ostrowski,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,34,28,2,3,0,1,0,.107,.301
Vic Raschi,2,2,0,0,0,0,0,0,2,1,.000,.500,.000,.500,0,0,0,35,85,5,15,0,5,0,.176,.431
Allie Reynolds,2,6,0,2,0,0,0,1,0,1,.333,.333,.333,.667,0,0,0,43,76,8,14,0,11,1,.184,.494
Phil Rizzuto,6,25,5,8,0,0,1,3,2,3,.320,.393,.440,.833,0,1,1,144,540,87,148,2,43,18,.274,.696
Johnny Sain,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,*33,66,7,15,1,4,0,.227,.568
Gene Woodling,6,18,6,3,1,1,1,1,5,3,.167,.348,.500,.848,0,0,1,120,420,65,118,15,71,0,.281,.835
Totals,72,199,29,49,7,2,5,25,26,23,.246,.336,.377,.713,0,2,,154,5194,798,1395,140,,78,.269,.757
