
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Neal Ball,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,,*58,177,22,39,0,20,12,.220,.535
Hugh Bedient,4,6,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,41,73,11,14,0,7,0,.192,.506
Hick Cady,7,22,1,3,0,0,0,1,0,3,.136,.136,.136,.273,0,,1,47,135,19,35,0,9,0,.259,.710
Bill Carrigan,2,7,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,87,266,34,70,0,24,7,.263,.656
Ray Collins,2,5,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,,0,27,65,8,11,0,2,0,.169,.492
Clyde Engle,3,3,1,1,1,0,0,2,0,0,.333,.333,.667,1.000,0,,,58,171,32,40,0,18,12,.234,.647
Larry Gardner,8,28,4,5,2,1,1,5,2,5,.179,.258,.429,.687,0,,3,143,517,88,163,3,86,25,.315,.832
Charley Hall,2,4,0,3,1,0,0,0,1,0,.750,.800,1.000,1.800,0,,1,34,75,10,20,1,14,0,.267,.734
Olaf Henriksen,2,1,0,1,1,0,0,1,0,0,1.000,1.000,2.000,3.000,0,,,44,56,20,18,0,8,0,.321,.868
Harry Hooper,8,31,3,9,2,1,0,2,4,4,.290,.371,.419,.791,1,,0,147,590,98,143,2,53,29,.242,.653
Duffy Lewis,8,32,4,6,3,0,0,1,2,2,.188,.235,.281,.517,0,,1,154,581,85,165,6,109,9,.284,.754
Buck O'Brien,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,,0,37,94,4,13,0,6,0,.138,.360
Tris Speaker,8,30,4,9,1,2,0,2,4,2,.300,.382,.467,.849,1,,2,153,580,136,222,10,90,52,.383,1.031
Jake Stahl,8,32,3,8,2,0,0,2,0,6,.250,.250,.313,.563,2,,0,95,326,40,98,3,60,13,.301,.801
Heinie Wagner,8,30,1,5,1,0,0,0,3,6,.167,.242,.200,.442,1,,3,144,504,75,138,2,68,21,.274,.717
Smoky Joe Wood,4,7,1,2,0,0,0,1,1,0,.286,.375,.286,.661,0,,0,43,124,16,36,1,13,0,.290,.784
Steve Yerkes,8,32,3,8,0,2,0,4,2,3,.250,.294,.375,.669,0,,1,131,523,73,132,0,42,4,.252,.629
Totals,85,273,25,60,14,6,1,21,19,36,.220,.273,.326,.599,5,,,154,5071,799,1404,29,,185,.277,.735
