
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Jesus Alou,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,96,220,13,59,2,15,0,.268,.620
Sal Bando,5,16,3,1,0,0,0,2,2,5,.063,.200,.063,.263,0,0,0,146,498,84,121,22,103,2,.243,.778
Vida Blue,2,4,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,40,0,0,0,0,0,0,,
Bert Campaneris,5,17,1,6,2,0,0,2,0,2,.353,.389,.471,.859,1,1,2,134,527,77,153,2,41,34,.290,.713
Rollie Fingers,4,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,76,0,0,0,0,0,0,,
Ray Fosse,5,14,1,2,0,0,1,1,1,5,.143,.200,.357,.557,0,0,0,69,204,20,40,4,23,1,.196,.564
Dick Green,5,13,1,0,0,0,0,1,1,4,.000,.071,.000,.071,0,0,1,100,287,20,61,2,22,2,.213,.544
Larry Haney,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,76,121,12,20,2,3,1,.165,.433
Jim Holt,4,3,0,2,0,0,0,2,0,0,.667,.667,.667,1.333,0,0,0,*109,239,25,56,0,16,0,.234,.562
Ken Holtzman,2,4,2,2,1,0,1,1,1,1,.500,.600,1.500,2.100,0,0,0,39,0,0,0,0,0,0,,
Catfish Hunter,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,41,0,0,0,0,0,0,,
Reggie Jackson,5,14,3,4,1,0,1,1,5,3,.286,.474,.571,1.045,1,0,1,148,506,90,146,29,93,25,.289,.905
Angel Mangual,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,115,365,37,85,9,43,3,.233,.632
Dal Maxvill,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*68,74,6,14,0,2,0,.189,.475
Bill North,5,17,3,1,0,0,0,0,2,5,.059,.158,.059,.217,1,1,1,149,543,79,141,4,33,54,.260,.684
Blue Moon Odom,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,43,0,3,0,0,0,0,,
Joe Rudi,5,18,1,6,0,0,1,4,0,3,.333,.333,.500,.833,0,0,0,158,593,73,174,22,99,2,.293,.818
Gene Tenace,5,9,0,2,0,0,0,0,3,4,.222,.417,.222,.639,0,0,0,158,484,71,102,26,73,2,.211,.778
Claudell Washington,5,7,1,4,0,0,0,0,1,1,.571,.625,.571,1.196,0,1,0,73,221,16,63,0,19,6,.285,.702
Herb Washington,3,0,0,0,0,0,0,0,0,0,,,,,0,0,,92,0,29,0,0,0,29,,
Totals,70,142,16,30,4,0,4,14,16,42,.211,.298,.324,.622,3,3,,162,5331,689,1315,132,,164,.247,.694
