
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Paul Blair,4,4,0,1,0,0,0,1,0,0,.250,.250,.250,.500,0,0,0,83,164,20,43,4,25,3,.262,.700
Chris Chambliss,6,24,4,7,2,0,1,4,0,2,.292,.292,.500,.792,0,0,0,157,600,90,172,17,90,4,.287,.781
Ken Clay,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,21,0,0,0,0,0,0,,
Bucky Dent,6,19,0,5,0,0,0,2,2,1,.263,.333,.263,.596,0,0,1,158,477,54,118,8,49,1,.247,.653
Ron Guidry,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,36,0,3,0,0,0,0,,
Don Gullett,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,22,0,0,0,0,0,0,,
Catfish Hunter,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,22,0,0,0,0,0,0,,
Reggie Jackson,6,20,10,9,1,0,5,8,3,4,.450,.542,1.250,1.792,0,0,0,146,525,93,150,32,110,17,.286,.925
Cliff Johnson,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,*107,286,46,85,22,54,0,.297,.991
Sparky Lyle,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,72,0,0,0,0,0,0,,
Thurman Munson,6,25,4,8,2,0,1,3,2,8,.320,.370,.520,.890,0,0,0,149,595,85,183,18,100,5,.308,.813
Graig Nettles,6,21,1,4,1,0,0,2,2,3,.190,.261,.238,.499,0,0,1,158,589,99,150,37,107,2,.255,.829
Lou Piniella,6,22,1,6,0,0,0,3,0,3,.273,.292,.273,.564,0,0,1,103,339,47,112,12,45,2,.330,.876
Willie Randolph,6,25,5,4,2,0,1,1,2,2,.160,.222,.360,.582,0,0,0,147,551,91,151,4,40,13,.274,.734
Mickey Rivers,6,27,1,6,2,0,0,1,0,2,.222,.222,.296,.519,1,0,0,138,565,79,184,12,69,22,.326,.789
Fred Stanley,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,48,46,6,12,1,7,1,.261,.696
Dick Tidrow,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,49,0,0,0,0,0,0,,
Mike Torrez,2,6,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,*35,0,0,0,0,0,0,,
Roy White,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,143,519,72,139,14,52,18,.268,.762
George Zeber,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,,25,65,8,21,3,10,0,.323,.913
Totals,72,205,26,50,10,0,8,25,11,37,.244,.288,.410,.697,1,0,,162,5605,831,1576,184,,93,.281,.788
