
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Footsie Blair,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,26,72,10,23,1,8,1,.319,.777
Sheriff Blake,2,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,38,81,11,14,0,4,0,.173,.409
Guy Bush,2,3,1,0,0,0,0,0,1,3,.000,.250,.000,.250,0,0,0,50,91,5,15,0,3,1,.165,.356
Hal Carlson,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,31,39,4,9,0,8,0,.231,.550
Kiki Cuyler,5,20,4,6,1,0,0,4,1,7,.300,.333,.350,.683,0,0,1,139,509,111,183,15,102,43,.360,.970
Woody English,5,21,1,4,2,0,0,0,1,6,.190,.227,.286,.513,0,1,4,144,608,131,168,1,52,13,.276,.691
Mike Gonzalez,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,60,167,15,40,0,18,1,.240,.575
Charlie Grimm,5,18,2,7,0,0,1,4,1,2,.389,.421,.556,.977,0,1,0,120,463,66,138,10,91,3,.298,.794
Gabby Hartnett,3,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,,25,22,2,6,1,9,1,.273,.998
Cliff Heathcote,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,82,224,45,70,2,31,9,.313,.799
Rogers Hornsby,5,21,4,5,1,1,0,1,1,8,.238,.273,.381,.654,0,0,1,156,602,156,229,39,149,2,.380,1.139
Pat Malone,3,4,0,1,1,0,0,0,0,2,.250,.250,.500,.750,0,0,0,40,105,8,22,2,11,0,.210,.534
Norm McMillan,5,20,0,2,0,0,0,0,2,6,.100,.182,.100,.282,1,0,0,124,495,77,134,5,55,13,.271,.716
Art Nehf,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,45,3,13,0,5,0,.289,.716
Charlie Root,2,5,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,43,96,8,15,1,15,0,.156,.492
Riggs Stephenson,5,19,3,6,1,0,0,3,2,2,.316,.381,.368,.749,0,0,0,136,495,91,179,17,110,10,.362,1.006
Zack Taylor,5,17,0,3,0,0,0,3,0,3,.176,.176,.176,.353,0,0,0,*98,316,37,84,1,41,0,.266,.693
Chick Tolson,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,32,109,13,28,1,19,0,.257,.655
Hack Wilson,5,17,2,8,0,1,0,0,4,3,.471,.571,.588,1.160,0,0,1,150,574,135,198,39,159,3,.345,1.044
Totals,62,173,17,43,6,2,1,15,13,50,.249,.301,.324,.625,1,2,,156,5471,982,1655,139,,103,.303,.825
