
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Al Benton,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,31,63,2,4,0,3,0,.063,.188
Red Borom,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,55,130,19,35,0,9,4,.269,.607
Tommy Bridges,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,4,3,0,0,0,0,0,.000,.000
George Caster,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*32,14,0,3,0,1,0,.214,.527
Doc Cramer,7,29,7,11,0,0,0,4,1,0,.379,.419,.379,.799,1,0,0,141,541,62,149,6,58,2,.275,.703
Roy Cullenbine,7,22,5,5,2,0,0,4,8,2,.227,.433,.318,.752,1,0,0,*154,536,83,146,18,93,2,.272,.846
Zeb Eaton,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,26,32,2,8,2,10,0,.250,.719
Hank Greenberg,7,23,7,7,3,0,2,7,6,5,.304,.467,.696,1.162,0,0,0,78,270,47,84,13,60,3,.311,.948
Joe Hoover,1,3,1,1,0,0,0,1,0,0,.333,.333,.333,.667,0,1,0,74,222,33,57,1,17,6,.257,.684
Chuck Hostetler,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,42,44,3,7,0,2,0,.159,.502
Bob Maier,1,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,,132,486,58,128,1,34,7,.263,.667
Eddie Mayo,7,28,4,7,1,0,0,2,3,2,.250,.323,.286,.608,0,0,2,134,501,71,143,10,54,7,.285,.752
John McHale,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,19,14,0,2,0,1,0,.143,.393
Ed Mierkowicz,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,10,15,0,2,0,2,0,.133,.454
Les Mueller,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,26,44,5,8,1,4,0,.182,.536
Hal Newhouser,3,8,0,0,0,0,0,1,1,1,.000,.111,.000,.111,0,0,1,40,109,9,28,0,17,0,.257,.623
Jimmy Outlaw,7,28,1,5,0,0,0,3,2,1,.179,.233,.179,.412,1,0,0,132,446,56,121,0,34,6,.271,.668
Stubby Overmire,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,31,53,5,10,0,3,0,.189,.510
Paul Richards,7,19,0,4,2,0,0,6,4,3,.211,.348,.316,.664,0,0,1,83,234,26,60,3,32,4,.256,.670
Bob Swift,3,4,1,1,0,0,0,0,2,0,.250,.500,.250,.750,0,0,0,95,279,19,65,0,24,1,.233,.549
Jim Tobin,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,*58,102,11,14,5,17,0,.137,.574
Dizzy Trout,2,6,0,1,0,0,0,0,0,0,.167,.167,.167,.333,0,0,0,42,102,11,25,2,11,1,.245,.632
Virgil Trucks,2,4,0,0,0,0,0,0,1,1,.000,.200,.000,.200,0,0,0,1,2,1,0,0,0,0,.000,.333
Hub Walker,2,2,1,1,1,0,0,0,0,0,.500,.500,1.000,1.500,0,0,,28,23,4,3,0,1,1,.130,.505
Skeeter Webb,7,27,4,5,0,0,0,1,2,1,.185,.241,.185,.427,0,0,0,118,407,43,81,0,21,8,.199,.492
Rudy York,7,28,1,5,1,0,0,3,3,4,.179,.258,.214,.472,0,0,1,155,595,71,157,18,87,6,.264,.745
Totals,88,242,32,54,10,0,2,32,33,22,.223,.321,.289,.611,3,1,,155,5257,633,1345,77,,60,.256,.684
