
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Larry Andersen,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,17,2,0,0,0,0,0,.000,.000
Marty Bystrom,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,24,38,2,9,0,4,0,.237,.531
Steve Carlton,1,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,37,97,9,19,0,1,0,.196,.460
Ivan de Jesus,5,16,0,2,0,0,0,0,1,2,.125,.176,.125,.301,0,0,1,158,497,60,126,4,45,11,.254,.659
John Denny,2,5,1,1,0,0,0,1,0,1,.200,.200,.200,.400,0,0,0,36,77,7,13,0,2,2,.169,.372
Bob Dernier,1,0,1,0,0,0,0,0,0,0,,,,,0,0,,122,221,41,51,1,15,35,.231,.577
Bo Diaz,5,15,1,5,1,0,0,0,1,2,.333,.375,.400,.775,0,0,1,136,471,49,111,15,64,1,.236,.662
Greg Gross,2,6,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,136,245,25,74,0,29,3,.302,.761
Von Hayes,4,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,124,351,45,93,6,32,20,.265,.707
Willie Hernandez,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*74,15,2,6,0,1,1,.400,.800
Al Holland,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,68,7,0,0,0,0,0,.000,.000
Charles Hudson,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,27,54,4,5,0,3,0,.093,.233
Joe Lefebvre,3,5,0,1,1,0,0,2,0,1,.200,.167,.400,.567,0,0,0,*119,278,35,85,8,39,5,.306,.904
Sixto Lezcano,4,8,0,1,0,0,0,0,0,2,.125,.125,.125,.250,0,0,0,*115,356,49,85,8,56,1,.239,.685
Garry Maddox,4,12,1,3,1,0,1,1,0,2,.250,.250,.583,.833,0,0,0,97,324,27,89,4,32,7,.275,.679
Gary Matthews,5,16,1,4,0,0,1,1,2,2,.250,.333,.438,.771,0,0,0,132,446,66,115,10,50,13,.258,.727
Joe Morgan,5,19,3,5,0,1,2,2,2,3,.263,.333,.684,1.018,1,2,0,123,404,72,93,16,59,18,.230,.773
Tony Perez,4,10,0,2,0,0,0,0,0,2,.200,.200,.200,.400,0,0,0,91,253,18,61,6,43,1,.241,.687
Ron Reed,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,61,6,0,1,0,0,0,.167,.333
Pete Rose,5,16,1,5,1,0,0,1,1,3,.313,.353,.375,.728,0,0,0,151,493,52,121,0,45,7,.245,.602
Juan Samuel,3,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,18,65,14,18,2,5,3,.277,.770
Mike Schmidt,5,20,0,1,0,0,0,0,0,6,.050,.050,.050,.100,0,0,1,154,534,104,136,40,109,7,.255,.923
Ozzie Virgil,3,2,0,1,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,55,140,11,30,6,23,0,.214,.664
Totals,74,159,9,31,4,1,4,9,7,29,.195,.228,.308,.536,1,2,,163,5426,696,1352,125,,143,.249,.702
