
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Juan Beniquez,3,8,0,1,0,0,0,1,1,1,.125,.222,.125,.347,0,0,0,78,254,43,74,2,17,7,.291,.760
Rick Burleson,7,24,1,7,1,0,0,2,4,2,.292,.393,.333,.726,0,1,1,158,580,66,146,6,62,8,.252,.634
Jim Burton,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,29,0,0,0,0,0,0,,
Bernie Carbo,4,7,3,3,1,0,2,4,1,1,.429,.500,1.429,1.929,0,0,0,107,319,64,82,15,50,2,.257,.892
Reggie Cleveland,3,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,31,0,0,0,0,0,0,,
Cecil Cooper,5,19,0,1,1,0,0,1,0,3,.053,.050,.105,.155,0,0,0,106,305,49,95,14,44,1,.311,.899
Denny Doyle,7,30,3,8,1,1,0,0,2,1,.267,.313,.367,.679,0,0,3,*97,325,50,97,4,36,5,.298,.742
Dick Drago,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,40,0,0,0,0,0,0,,
Dwight Evans,7,24,3,7,1,1,1,5,3,4,.292,.393,.542,.935,0,1,0,128,412,61,113,13,56,3,.274,.809
Carlton Fisk,7,25,5,6,0,0,2,4,7,7,.240,.406,.480,.886,0,0,2,79,263,47,87,10,52,4,.331,.923
Doug Griffin,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,100,287,21,69,1,29,2,.240,.560
Bill Lee,2,6,0,1,0,0,0,0,0,3,.167,.167,.167,.333,0,0,0,41,0,0,0,0,0,0,,
Fred Lynn,7,25,3,7,1,0,1,5,3,5,.280,.345,.440,.785,0,0,0,145,528,103,175,21,105,10,.331,.967
Rick Miller,3,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,77,108,21,21,0,15,3,.194,.557
Bob Montgomery,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,62,195,16,44,2,26,1,.226,.559
Roger Moret,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,37,0,0,0,0,0,0,,
Rico Petrocelli,7,26,3,8,1,0,0,4,3,6,.308,.379,.346,.725,0,0,0,115,402,31,96,7,59,0,.239,.644
Dick Pole,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,18,0,0,0,0,0,0,,
Diego Segui,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,33,0,0,0,0,0,0,,
Luis Tiant,3,8,2,2,0,0,0,0,2,4,.250,.400,.250,.650,0,0,0,35,1,0,0,0,0,0,.000,.000
Jim Willoughby,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,24,0,0,0,0,0,0,,
Rick Wise,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,35,0,0,0,0,0,0,,
Carl Yastrzemski,7,29,7,9,0,0,0,4,4,1,.310,.382,.310,.693,0,0,0,149,543,91,146,14,60,8,.269,.776
Totals,88,239,30,60,7,2,6,30,30,40,.251,.333,.372,.706,0,2,,160,5448,796,1500,134,,66,.275,.761
