
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Clay Bellinger,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,51,81,12,13,5,12,1,.160,.590
Scott Brosius,7,24,1,4,2,0,1,3,0,8,.167,.167,.375,.542,0,0,1,120,428,57,123,13,49,3,.287,.789
Randy Choate,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,37,3,0,0,0,0,0,.000,.000
Roger Clemens,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,1,33,2,0,0,0,0,0,.000,.000
Todd Greene,1,2,1,1,1,0,0,0,0,0,.500,.500,1.000,1.500,0,0,0,35,96,9,20,1,11,0,.208,.521
Orlando Hernandez,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,17,0,0,0,0,0,0,,
Sterling Hitchcock,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*13,8,1,1,0,1,0,.125,.250
Derek Jeter,7,27,3,4,0,0,1,1,0,6,.148,.179,.259,.438,0,0,0,150,614,110,191,21,74,27,.311,.858
David Justice,5,12,0,2,0,0,0,0,1,9,.167,.231,.167,.397,0,0,1,111,381,58,92,18,51,1,.241,.763
Chuck Knoblauch,6,18,1,1,0,0,0,0,1,2,.056,.105,.056,.161,0,0,0,137,521,66,130,9,44,38,.250,.691
Tino Martinez,6,21,1,4,0,0,1,3,2,2,.190,.261,.333,.594,0,0,0,154,589,89,165,34,113,1,.280,.830
Ramiro Mendoza,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,56,2,0,0,0,0,0,.000,.000
Mike Mussina,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,34,7,0,1,0,1,0,.143,.286
Paul O'Neill,5,15,1,5,1,0,0,0,2,2,.333,.412,.400,.812,1,0,0,137,510,77,136,21,70,22,.267,.789
Andy Pettitte,2,3,0,1,0,0,0,0,0,1,.333,.333,.333,.667,0,0,0,31,4,0,0,0,0,0,.000,.000
Jorge Posada,7,23,2,4,1,0,1,1,3,8,.174,.269,.348,.617,0,0,1,138,484,59,134,22,95,2,.277,.838
Mariano Rivera,4,0,0,0,0,0,0,0,0,0,,,,,0,0,1,71,0,0,0,0,0,0,,
Luis Sojo,2,3,0,1,0,0,0,1,0,0,.333,.333,.333,.667,0,0,0,39,79,5,13,0,9,1,.165,.404
Alfonso Soriano,7,25,1,6,0,0,1,2,0,7,.240,.240,.360,.600,0,1,3,158,574,77,154,18,73,43,.268,.736
Shane Spencer,7,20,1,4,0,0,1,2,2,6,.200,.273,.350,.623,0,0,0,80,283,40,73,10,46,4,.258,.743
Mike Stanton,5,0,0,0,0,0,0,0,0,0,,,,,0,0,0,76,0,0,0,0,0,0,,
Randy Velarde,1,3,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,0,*93,342,50,95,9,32,6,.278,.780
Bernie Williams,7,24,2,5,1,0,0,1,4,6,.208,.321,.250,.571,0,0,0,146,540,102,166,26,94,11,.307,.917
Enrique Wilson,2,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,*94,228,17,48,2,20,0,.211,.519
Jay Witasick,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*63,1,0,0,0,0,0,.000,.000
Totals,95,229,14,42,6,0,6,14,16,63,.183,.240,.288,.528,1,1,,161,5577,804,1488,203,,161,.267,.769
