1906,Chicago White Sox,Ed McFarland,0.487,0.0,0.0,null,winner
1906,Chicago White Sox,Bill O'Neill,0.577,0.0,0.0,null,winner
1906,Chicago White Sox,Frank Owen,0.38,0.0,0.0,null,winner
1906,Chicago White Sox,George Rohe,0.604,1.011,0.40700006,up,winner
1906,Chicago White Sox,Billy Sullivan,0.559,0.0,0.0,null,winner
1906,Chicago White Sox,Lee Tannehill,0.473,0.222,0.0,null,winner
1906,Chicago White Sox,Babe Towne,0.673,0.0,0.0,null,winner
1906,Chicago White Sox,Ed Walsh,0.387,0.429,0.0,null,winner
1906,Chicago White Sox,Doc White,0.551,0.25,0.0,null,winner
1907,Detroit Tigers,Jimmy Archer,0.315,0.0,0.0,null,loser
1907,Detroit Tigers,Ty Cobb,0.848,0.538,0.31,down,loser
1907,Detroit Tigers,Bill Coughlin,0.57,0.536,0.03399998,down,loser
1907,Detroit Tigers,Sam Crawford,0.826,0.524,0.302,down,loser
1907,Detroit Tigers,Bill Donovan,0.671,0.0,0.0,null,loser
1907,Detroit Tigers,Davy Jones,0.674,0.829,0.15499997,up,loser
1907,Detroit Tigers,Ed Killian,0.756,1.0,0.0,null,loser
1907,Detroit Tigers,George Mullin,0.563,0.0,0.0,null,loser
1907,Detroit Tigers,Charley O'Leary,0.584,0.17,0.41399997,down,loser
1907,Detroit Tigers,Fred Payne,0.422,0.5,0.0,null,loser
1907,Detroit Tigers,Claude Rossman,0.66,1.026,0.366,up,loser
1907,Detroit Tigers,Germany Schaefer,0.628,0.286,0.342,down,loser
1907,Detroit Tigers,Boss Schmidt,0.564,0.452,0.0,null,loser
1907,Detroit Tigers,Ed Siever,0.371,0.0,0.0,null,loser
1907,Chicago Cubs,Mordecai Brown,0.398,0.25,0.0,null,winner
1907,Chicago Cubs,Frank Chance,0.756,0.62,0.0,null,winner
1907,Chicago Cubs,Johnny Evers,0.622,0.8,0.17800003,up,winner
1907,Chicago Cubs,Del Howard,0.608,0.4,0.0,null,winner
1907,Chicago Cubs,Johnny Kling,0.728,0.461,0.267,down,winner
1907,Chicago Cubs,Pat Moran,0.549,NaN,0.0,null,winner
1907,Chicago Cubs,Orval Overall,0.535,0.4,0.0,null,winner
1907,Chicago Cubs,Jack Pfiester,0.269,0.0,0.0,null,winner
1907,Chicago Cubs,Ed Reulbach,0.426,0.4,0.0,null,winner
1907,Chicago Cubs,Frank Schulte,0.725,0.536,0.18900001,down,winner
1907,Chicago Cubs,Jimmy Sheckard,0.697,0.606,0.09100002,down,winner
1907,Chicago Cubs,Jimmy Slagle,0.653,0.606,0.04699999,down,winner
1907,Chicago Cubs,Harry Steinfeldt,0.659,1.197,0.53800005,up,winner
1907,Chicago Cubs,Joe Tinker,0.54,0.466,0.0,null,winner
1907,Chicago Cubs,Heinie Zimmerman,0.556,0.0,0.0,null,winner
1908,Detroit Tigers,Ty Cobb,0.842,0.821,0.021000028,down,loser
1908,Detroit Tigers,Bill Coughlin,0.501,0.347,0.0,null,loser
1908,Detroit Tigers,Sam Crawford,0.812,0.558,0.25399995,down,loser
1908,Detroit Tigers,Bill Donovan,0.421,0.2,0.0,null,loser
1908,Detroit Tigers,Red Downs,0.524,0.619,0.0,null,loser
1908,Detroit Tigers,Davy Jones,0.523,0.333,0.0,null,loser
1908,Detroit Tigers,Ed Killian,0.315,NaN,0.0,null,loser
1908,Detroit Tigers,Matty McIntyre,0.775,0.641,0.134,down,loser
1908,Detroit Tigers,George Mullin,0.634,0.833,0.0,null,loser
1908,Detroit Tigers,Charley O'Leary,0.617,0.421,0.19599998,down,loser
1908,Detroit Tigers,Claude Rossman,0.748,0.461,0.28700003,down,loser
1908,Detroit Tigers,Germany Schaefer,0.646,0.301,0.34500003,down,loser
1908,Detroit Tigers,Boss Schmidt,0.617,0.143,0.0,null,loser
1908,Detroit Tigers,Ed Summers,0.265,0.4,0.0,null,loser
1908,Detroit Tigers,Ira Thomas,0.663,1.35,0.0,null,loser
1908,Detroit Tigers,George Winter,0.343,NaN,0.0,null,loser
1908,Chicago Cubs,Mordecai Brown,0.426,0.0,0.0,null,winner
1908,Chicago Cubs,Frank Chance,0.701,0.921,0.22000003,up,winner
1908,Chicago Cubs,Johnny Evers,0.777,0.781,0.004000008,up,winner
1908,Chicago Cubs,Solly Hofman,0.628,0.771,0.143,up,winner
1908,Chicago Cubs,Del Howard,0.668,0.0,0.0,null,winner
1908,Chicago Cubs,Johnny Kling,0.697,0.646,0.051,down,winner
1908,Chicago Cubs,Orval Overall,0.369,0.667,0.0,null,winner
1908,Chicago Cubs,Jack Pfiester,0.248,0.0,0.0,null,winner
1908,Chicago Cubs,Ed Reulbach,0.61,0.0,0.0,null,winner
1908,Chicago Cubs,Frank Schulte,0.6,0.95,0.34999996,up,winner
1908,Chicago Cubs,Jimmy Sheckard,0.641,0.638,0.0029999614,down,winner
1908,Chicago Cubs,Harry Steinfeldt,0.6,0.583,0.01700002,down,winner
1908,Chicago Cubs,Joe Tinker,0.697,0.684,0.013000011,down,winner
1909,Detroit Tigers,Donie Bush,0.694,0.846,0.15200001,up,loser
1909,Detroit Tigers,Ty Cobb,0.947,0.656,0.291,down,loser
1909,Detroit Tigers,Sam Crawford,0.817,0.74,0.07699996,down,loser
1909,Detroit Tigers,Jim Delahanty,0.632,0.952,0.32,up,loser
